Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Distance_by_year,age,eng_cap_diff
58.0,217.0,2012,9.0,131000.0,3000.0,2.0,0.0,25999.0,13100.0,12,619.2774433935224
76.0,533.0,2005,10.0,152000.0,1400.0,4.0,1.0,3500.0,8941.176470588236,19,571.1053761433639
43.0,579.0,2012,3.0,100000.0,3500.0,2.0,0.0,25900.0,10000.0,12,1495.9292722812756
66.0,312.0,2005,11.0,180000.0,1200.0,4.0,1.0,2600.0,10588.235294117649,19,441.7660684154012
76.0,521.0,2014,10.0,65979.0,1800.0,4.0,0.0,16499.0,8247.375,10,171.10537614336386
16.0,441.0,2006,10.0,300000.0,1400.0,3.0,1.0,2650.0,18750.0,18,571.1053761433639
75.0,37.0,2006,11.0,167000.0,1600.0,4.0,1.0,1999.0,10437.5,18,41.76606841540115
55.0,722.0,1993,10.0,250150.0,1800.0,4.0,0.0,1300.0,8625.862068965518,31,171.10537614336386
52.0,510.0,2021,3.0,0.0,2360.0,4.0,0.0,30900.0,0.0,3,355.92927228127564
23.0,475.0,2008,10.0,220000.0,2000.0,4.0,1.0,5500.0,15714.285714285714,16,28.894623856636144
33.0,129.0,2020,9.0,29000.0,2199.0,0.0,0.0,35999.0,14500.0,4,181.7225566064776
66.0,312.0,2011,11.0,215000.0,1200.0,0.0,1.0,4600.0,19545.454545454544,13,441.7660684154012
66.0,672.0,2012,10.0,150000.0,1400.0,4.0,1.0,8000.0,15000.0,12,571.1053761433639
76.0,356.0,2005,4.0,216000.0,200.0,4.0,0.0,6000.0,12705.882352941177,19,1295.6464823241165
66.0,312.0,2004,11.0,244000.0,1200.0,4.0,1.0,3050.0,13555.555555555557,20,441.7660684154012
31.0,231.0,2011,10.0,171000.0,1300.0,2.0,0.0,7100.0,15545.454545454546,13,671.1053761433639
48.0,201.0,2015,3.0,170000.0,2200.0,0.0,0.0,16000.0,24285.714285714286,9,195.92927228127564
73.0,713.0,2010,3.0,170000.0,1400.0,0.0,1.0,7000.0,14166.666666666666,14,604.0707277187244
76.0,520.0,2006,11.0,222500.0,1986.0,0.0,1.0,5900.0,13906.25,18,344.23393158459885
73.0,246.0,2003,10.0,270000.0,1400.0,3.0,1.0,4300.0,14210.526315789471,21,571.1053761433639
60.0,467.0,2006,11.0,265132.0,1500.0,0.0,1.0,2850.0,16570.75,18,141.76606841540115
49.0,600.0,2009,10.0,220000.0,3500.0,4.0,0.0,11490.0,16923.076923076922,15,1528.894623856636
31.0,231.0,2018,10.0,47000.0,2000.0,4.0,1.0,8850.0,11750.0,6,28.894623856636144
76.0,288.0,2007,0.0,200000.0,2000.0,4.0,0.0,7500.0,13333.333333333334,17,64.22448979591854
77.0,756.0,2021,9.0,2520.0,2000.0,0.0,0.0,69500.0,2520.0,3,380.7225566064776
49.0,276.0,2017,10.0,187000.0,2000.0,0.0,0.0,27900.0,37400.0,7,28.894623856636144
33.0,351.0,2006,4.0,98000.0,1400.0,0.0,1.0,1444.0,6125.0,18,95.64648232411628
49.0,276.0,2015,10.0,180000.0,2200.0,0.0,0.0,12900.0,25714.285714285717,9,228.89462385663612
33.0,624.0,2019,9.0,48000.0,1995.0,0.0,0.0,25499.0,16000.0,5,385.7225566064776
16.0,441.0,2005,10.0,273000.0,1400.0,4.0,1.0,2750.0,16058.823529411764,19,571.1053761433639
56.0,74.0,2015,6.0,105000.0,1600.0,0.0,1.0,12500.0,15000.0,9,203.61906424581
38.0,361.0,2000,3.0,320000.0,3100.0,0.0,0.0,2500.0,14545.454545454546,24,1095.9292722812756
73.0,141.0,2007,4.0,235000.0,1500.0,0.0,1.0,5400.0,15666.666666666666,17,4.353517675883722
8.0,285.0,2017,3.0,153000.0,1400.0,4.0,0.0,12500.0,30600.0,7,604.0707277187244
55.0,394.0,2009,4.0,220000.0,2000.0,0.0,1.0,5000.0,16923.076923076922,15,504.3535176758837
39.0,662.0,2015,3.0,138854.0,1999.0,0.0,0.0,14600.0,19836.285714285717,9,5.070727718724356
76.0,696.0,2008,6.0,161000.0,1390.0,4.0,1.0,6000.0,11500.0,16,413.61906424581
56.0,65.0,1995,10.0,20000.0,1600.0,4.0,1.0,500.0,740.7407407407408,29,371.1053761433639
6.0,751.0,2013,9.0,135000.0,3000.0,0.0,0.0,32000.0,15000.0,11,619.2774433935224
52.0,215.0,2002,4.0,200000.0,1600.0,4.0,1.0,2300.0,10000.0,22,104.35351767588372
49.0,639.0,1993,10.0,264000.0,2000.0,3.0,1.0,2300.0,9103.448275862069,31,28.894623856636144
31.0,231.0,1992,10.0,300000.0,1500.0,4.0,1.0,850.0,10000.0,32,471.1053761433639
55.0,120.0,2011,4.0,105000.0,1200.0,4.0,0.0,5600.0,9545.454545454546,13,295.6464823241163
60.0,364.0,2013,6.0,138500.0,1500.0,0.0,0.0,7999.0,15388.888888888889,11,303.61906424581
6.0,72.0,2008,10.0,220000.0,3000.0,0.0,0.0,8000.0,15714.285714285714,16,1028.894623856636
76.0,356.0,1989,4.0,381084.0,1576.0,4.0,1.0,850.0,11548.0,35,80.35351767588372
